threshold,layer,kv_head,action,selected_budget,budget_fraction,quality,direct_val_r2,fitv_val_r2,reason
0.82,15,1,full,1536,1,1,,,not_target_layer
0.82,15,2,full,1536,1,1,,,not_target_layer
0.82,15,3,full,1536,1,1,,,not_target_layer
0.82,15,4,full,1536,1,1,,,not_target_layer
0.82,15,5,full,1536,1,1,,,not_target_layer
0.82,15,6,full,1536,1,1,,,not_target_layer
0.82,15,7,full,1536,1,1,,,not_target_layer
0.82,16,0,full,1536,1,1,,,not_target_layer
0.82,16,1,full,1536,1,1,,,not_target_layer
0.82,16,2,full,1536,1,1,,,not_target_layer
0.82,16,3,full,1536,1,1,,,not_target_layer
0.82,16,4,full,1536,1,1,,,not_target_layer
0.82,16,5,full,1536,1,1,,,not_target_layer
0.82,16,6,full,1536,1,1,,,not_target_layer
0.82,16,7,full,1536,1,1,,,not_target_layer
0.82,17,0,full,1536,1,1,,,not_target_layer
0.82,17,1,full,1536,1,1,,,not_target_layer
0.82,17,2,full,1536,1,1,,,not_target_layer
0.82,17,3,full,1536,1,1,,,not_target_layer
0.82,17,4,full,1536,1,1,,,not_target_layer
0.82,17,5,full,1536,1,1,,,not_target_layer
0.82,17,6,full,1536,1,1,,,not_target_layer
0.82,17,7,full,1536,1,1,,,not_target_layer
0.82,18,0,full,1536,1,1,,,not_target_layer
0.82,18,1,full,1536,1,1,,,not_target_layer
0.82,18,2,full,1536,1,1,,,not_target_layer
0.82,18,3,full,1536,1,1,,,not_target_layer
0.82,18,4,full,1536,1,1,,,not_target_layer
0.82,18,5,full,1536,1,1,,,not_target_layer
0.82,18,6,full,1536,1,1,,,not_target_layer
0.82,18,7,full,1536,1,1,,,not_target_layer
0.82,19,0,full,1536,1,1,,,not_target_layer
0.82,19,1,full,1536,1,1,,,not_target_layer
0.82,19,2,full,1536,1,1,,,not_target_layer
0.82,19,3,full,1536,1,1,,,not_target_layer
0.82,19,4,full,1536,1,1,,,not_target_layer
0.82,19,5,full,1536,1,1,,,not_target_layer
0.82,19,6,full,1536,1,1,,,not_target_layer
0.82,19,7,full,1536,1,1,,,not_target_layer
0.82,20,0,full,1536,1,1,,,not_target_layer
0.82,20,1,full,1536,1,1,,,not_target_layer
0.82,20,2,full,1536,1,1,,,not_target_layer
0.82,20,3,full,1536,1,1,,,not_target_layer
0.82,20,4,full,1536,1,1,,,not_target_layer
0.82,20,5,full,1536,1,1,,,not_target_layer
0.82,20,6,full,1536,1,1,,,not_target_layer
0.82,20,7,full,1536,1,1,,,not_target_layer
0.82,21,0,full,1536,1,1,,,not_target_layer
0.82,21,1,full,1536,1,1,,,not_target_layer
0.82,21,2,full,1536,1,1,,,not_target_layer
0.82,21,3,full,1536,1,1,,,not_target_layer
0.82,21,4,full,1536,1,1,,,not_target_layer
0.82,21,5,full,1536,1,1,,,not_target_layer
0.82,21,6,full,1536,1,1,,,not_target_layer
0.82,21,7,full,1536,1,1,,,not_target_layer
0.82,22,0,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,22,1,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,22,2,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,22,3,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,22,4,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,22,5,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,22,6,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,22,7,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,23,0,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,23,1,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,23,2,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,23,3,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,23,4,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,23,5,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,23,6,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,23,7,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,24,0,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,24,1,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,24,2,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,24,3,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,24,4,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,24,5,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,24,6,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,24,7,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,25,0,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,25,1,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,25,2,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,25,3,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,25,4,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,25,5,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,25,6,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,25,7,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,26,0,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,26,1,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,26,2,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,26,3,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,26,4,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,26,5,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,26,6,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,26,7,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,27,0,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,27,1,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,27,2,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,27,3,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,27,4,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,27,5,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,27,6,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
0.82,27,7,compact,768,0.5,0,,,high_layers_22_28_2x_recovery_task_policy
