threshold,layer,kv_head,action,selected_budget,budget_fraction,quality,direct_val_r2,fitv_val_r2,reason
0.957,0,0,full,1536,1,1,,,not_target_layer
0.957,0,1,full,1536,1,1,,,not_target_layer
0.957,0,2,full,1536,1,1,,,not_target_layer
0.957,0,3,full,1536,1,1,,,not_target_layer
0.957,0,4,full,1536,1,1,,,not_target_layer
0.957,0,5,full,1536,1,1,,,not_target_layer
0.957,0,6,full,1536,1,1,,,not_target_layer
0.957,0,7,full,1536,1,1,,,not_target_layer
0.957,1,0,full,1536,1,1,,,not_target_layer
0.957,1,1,full,1536,1,1,,,not_target_layer
0.957,1,2,full,1536,1,1,,,not_target_layer
0.957,1,3,full,1536,1,1,,,not_target_layer
0.957,1,4,full,1536,1,1,,,not_target_layer
0.957,1,5,full,1536,1,1,,,not_target_layer
0.957,1,6,full,1536,1,1,,,not_target_layer
0.957,1,7,full,1536,1,1,,,not_target_layer
0.957,2,0,full,1536,1,1,,,not_target_layer
0.957,2,1,full,1536,1,1,,,not_target_layer
0.957,2,2,full,1536,1,1,,,not_target_layer
0.957,2,3,full,1536,1,1,,,not_target_layer
0.957,2,4,full,1536,1,1,,,not_target_layer
0.957,2,5,full,1536,1,1,,,not_target_layer
0.957,2,6,full,1536,1,1,,,not_target_layer
0.957,2,7,full,1536,1,1,,,not_target_layer
0.957,3,0,full,1536,1,1,,,not_target_layer
0.957,3,1,full,1536,1,1,,,not_target_layer
0.957,3,2,full,1536,1,1,,,not_target_layer
0.957,3,3,full,1536,1,1,,,not_target_layer
0.957,3,4,full,1536,1,1,,,not_target_layer
0.957,3,5,full,1536,1,1,,,not_target_layer
0.957,3,6,full,1536,1,1,,,not_target_layer
0.957,3,7,full,1536,1,1,,,not_target_layer
0.957,4,0,full,1536,1,1,,,not_target_layer
0.957,4,1,full,1536,1,1,,,not_target_layer
0.957,4,2,full,1536,1,1,,,not_target_layer
0.957,4,3,full,1536,1,1,,,not_target_layer
0.957,4,4,full,1536,1,1,,,not_target_layer
0.957,4,5,full,1536,1,1,,,not_target_layer
0.957,4,6,full,1536,1,1,,,not_target_layer
0.957,4,7,full,1536,1,1,,,not_target_layer
0.957,5,0,full,1536,1,1,,,not_target_layer
0.957,5,1,full,1536,1,1,,,not_target_layer
0.957,5,2,full,1536,1,1,,,not_target_layer
0.957,5,3,full,1536,1,1,,,not_target_layer
0.957,5,4,full,1536,1,1,,,not_target_layer
0.957,5,5,full,1536,1,1,,,not_target_layer
0.957,5,6,full,1536,1,1,,,not_target_layer
0.957,5,7,full,1536,1,1,,,not_target_layer
0.957,6,0,full,1536,1,1,,,not_target_layer
0.957,6,1,full,1536,1,1,,,not_target_layer
0.957,6,2,full,1536,1,1,,,not_target_layer
0.957,6,3,full,1536,1,1,,,not_target_layer
0.957,6,4,full,1536,1,1,,,not_target_layer
0.957,6,5,full,1536,1,1,,,not_target_layer
0.957,6,6,full,1536,1,1,,,not_target_layer
0.957,6,7,full,1536,1,1,,,not_target_layer
0.957,7,0,full,1536,1,1,,,not_target_layer
0.957,7,1,full,1536,1,1,,,not_target_layer
0.957,7,2,full,1536,1,1,,,not_target_layer
0.957,7,3,full,1536,1,1,,,not_target_layer
0.957,7,4,full,1536,1,1,,,not_target_layer
0.957,7,5,full,1536,1,1,,,not_target_layer
0.957,7,6,full,1536,1,1,,,not_target_layer
0.957,7,7,full,1536,1,1,,,not_target_layer
