target_id,category,length_bucket,mode,role,status,error,prompt_tokens,calibration_bank_sha256,logical_byte_saving_fraction,missing_tokens,missing_mse,missing_mae,missing_max_abs,max_abs_logit_diff,mean_abs_logit_diff,argmax_match,original_argmax,restored_argmax,artifact
code,source_code,medium,calibration_holdout,trained,success,,79,92ab5801523c85faa5e315cc229381818f960cc69940a4de6579688bd8e1fcc0,0.17410714285714285,3081,13.467333002617329,1.6726506633943394,322.0,7.375,1.2279694080352783,True,594,594,/data00/home/sitian/sitian-workspace01/tllm/TinyLLMForge/profile_out/light_doc_cache_multi_target_20260714_final_evidence/targets/code/calibration_holdout
code,source_code,medium,correlated_same_layer_target,baseline,success,,79,,0.17410714285714285,3081,6.42021067581516,1.224153705461193,249.0,1.9765625,0.29286789894104004,True,594,594,/data00/home/sitian/sitian-workspace01/tllm/TinyLLMForge/profile_out/light_doc_cache_multi_target_20260714_final_evidence/targets/code/correlated_same_layer_target
code,source_code,medium,repeat_last_target,baseline,success,,79,,0.17410714285714285,3081,11.609366558537818,1.6322385603885436,298.0,2.015625,0.344929963350296,True,594,594,/data00/home/sitian/sitian-workspace01/tllm/TinyLLMForge/profile_out/light_doc_cache_multi_target_20260714_final_evidence/targets/code/repeat_last_target
cross_paragraph,cross_paragraph_dependency,long,calibration_holdout,trained,success,,229,92ab5801523c85faa5e315cc229381818f960cc69940a4de6579688bd8e1fcc0,0.1771093262632564,9085,15.851900634541416,1.726391108026938,332.0,8.375,1.4294393062591553,True,16141,16141,/data00/home/sitian/sitian-workspace01/tllm/TinyLLMForge/profile_out/light_doc_cache_multi_target_20260714_final_evidence/targets/cross_paragraph/calibration_holdout
cross_paragraph,cross_paragraph_dependency,long,correlated_same_layer_target,baseline,success,,229,,0.1771093262632564,9085,5.980826079269513,1.2061838115600845,201.0,5.34375,0.8628504276275635,False,16141,785,/data00/home/sitian/sitian-workspace01/tllm/TinyLLMForge/profile_out/light_doc_cache_multi_target_20260714_final_evidence/targets/cross_paragraph/correlated_same_layer_target
cross_paragraph,cross_paragraph_dependency,long,repeat_last_target,baseline,success,,229,,0.1771093262632564,9085,11.855432036311557,1.5974101905251228,284.0,5.1875,0.7798182964324951,False,16141,785,/data00/home/sitian/sitian-workspace01/tllm/TinyLLMForge/profile_out/light_doc_cache_multi_target_20260714_final_evidence/targets/cross_paragraph/repeat_last_target
document_qa,long_document_qa,long,calibration_holdout,trained,success,,212,92ab5801523c85faa5e315cc229381818f960cc69940a4de6579688bd8e1fcc0,0.17633928571428573,8374,15.306922804590332,1.7071837702297175,249.0,8.25,1.352347731590271,False,785,16141,/data00/home/sitian/sitian-workspace01/tllm/TinyLLMForge/profile_out/light_doc_cache_multi_target_20260714_final_evidence/targets/document_qa/calibration_holdout
document_qa,long_document_qa,long,correlated_same_layer_target,baseline,success,,212,,0.17633928571428573,8374,6.1397970702798155,1.214912933600074,165.0,6.03125,0.8609092235565186,False,785,28715,/data00/home/sitian/sitian-workspace01/tllm/TinyLLMForge/profile_out/light_doc_cache_multi_target_20260714_final_evidence/targets/document_qa/correlated_same_layer_target
document_qa,long_document_qa,long,repeat_last_target,baseline,success,,212,,0.17633928571428573,8374,10.110281007473857,1.5345798432871482,251.0,4.5625,0.7550255656242371,False,785,32,/data00/home/sitian/sitian-workspace01/tllm/TinyLLMForge/profile_out/light_doc_cache_multi_target_20260714_final_evidence/targets/document_qa/repeat_last_target
math,mathematical_reasoning,medium,calibration_holdout,trained,success,,51,92ab5801523c85faa5e315cc229381818f960cc69940a4de6579688bd8e1fcc0,0.17288165266106442,1975,12.178455743540386,1.6341275475070447,225.0,5.0,1.1094697713851929,True,11,11,/data00/home/sitian/sitian-workspace01/tllm/TinyLLMForge/profile_out/light_doc_cache_multi_target_20260714_final_evidence/targets/math/calibration_holdout
