threshold,layer,kv_head,action,selected_budget,budget_fraction,quality,direct_val_r2,fitv_val_r2,reason
0.95,14,4,full,1536,1,1,,,not_target_layer
0.95,14,5,full,1536,1,1,,,not_target_layer
0.95,14,6,full,1536,1,1,,,not_target_layer
0.95,14,7,full,1536,1,1,,,not_target_layer
0.95,15,0,full,1536,1,1,,,not_target_layer
0.95,15,1,full,1536,1,1,,,not_target_layer
0.95,15,2,full,1536,1,1,,,not_target_layer
0.95,15,3,full,1536,1,1,,,not_target_layer
0.95,15,4,full,1536,1,1,,,not_target_layer
0.95,15,5,full,1536,1,1,,,not_target_layer
0.95,15,6,full,1536,1,1,,,not_target_layer
0.95,15,7,full,1536,1,1,,,not_target_layer
0.95,16,0,full,1536,1,1,,,not_target_layer
0.95,16,1,full,1536,1,1,,,not_target_layer
0.95,16,2,full,1536,1,1,,,not_target_layer
0.95,16,3,full,1536,1,1,,,not_target_layer
0.95,16,4,full,1536,1,1,,,not_target_layer
0.95,16,5,full,1536,1,1,,,not_target_layer
0.95,16,6,full,1536,1,1,,,not_target_layer
0.95,16,7,full,1536,1,1,,,not_target_layer
0.95,17,0,full,1536,1,1,,,not_target_layer
0.95,17,1,full,1536,1,1,,,not_target_layer
0.95,17,2,full,1536,1,1,,,not_target_layer
0.95,17,3,full,1536,1,1,,,not_target_layer
0.95,17,4,full,1536,1,1,,,not_target_layer
0.95,17,5,full,1536,1,1,,,not_target_layer
0.95,17,6,full,1536,1,1,,,not_target_layer
0.95,17,7,full,1536,1,1,,,not_target_layer
0.95,18,0,full,1536,1,1,,,not_target_layer
0.95,18,1,full,1536,1,1,,,not_target_layer
0.95,18,2,full,1536,1,1,,,not_target_layer
0.95,18,3,full,1536,1,1,,,not_target_layer
0.95,18,4,full,1536,1,1,,,not_target_layer
0.95,18,5,full,1536,1,1,,,not_target_layer
0.95,18,6,full,1536,1,1,,,not_target_layer
0.95,18,7,full,1536,1,1,,,not_target_layer
0.95,19,0,full,1536,1,1,,,not_target_layer
0.95,19,1,full,1536,1,1,,,not_target_layer
0.95,19,2,full,1536,1,1,,,not_target_layer
0.95,19,3,full,1536,1,1,,,not_target_layer
0.95,19,4,full,1536,1,1,,,not_target_layer
0.95,19,5,full,1536,1,1,,,not_target_layer
0.95,19,6,full,1536,1,1,,,not_target_layer
0.95,19,7,full,1536,1,1,,,not_target_layer
0.95,20,0,full,1536,1,1,,,not_target_layer
0.95,20,1,full,1536,1,1,,,not_target_layer
0.95,20,2,compact,768,0.5,0,,,14-head safe frontier plus candidate 20:7 at 50% per-head budget.
0.95,20,3,full,1536,1,1,,,not_target_layer
0.95,20,4,full,1536,1,1,,,not_target_layer
0.95,20,5,full,1536,1,1,,,not_target_layer
0.95,20,6,full,1536,1,1,,,not_target_layer
0.95,20,7,compact,768,0.5,0,,,14-head safe frontier plus candidate 20:7 at 50% per-head budget.
0.95,21,0,full,1536,1,1,,,not_target_layer
0.95,21,1,full,1536,1,1,,,not_target_layer
0.95,21,2,full,1536,1,1,,,not_target_layer
0.95,21,3,full,1536,1,1,,,not_target_layer
0.95,21,4,full,1536,1,1,,,not_target_layer
0.95,21,5,full,1536,1,1,,,not_target_layer
0.95,21,6,full,1536,1,1,,,not_target_layer
0.95,21,7,full,1536,1,1,,,not_target_layer
0.95,22,0,full,1536,1,1,,,not_target_layer
0.95,22,1,full,1536,1,1,,,not_target_layer
0.95,22,2,full,1536,1,1,,,not_target_layer
0.95,22,3,full,1536,1,1,,,not_target_layer
0.95,22,4,full,1536,1,1,,,not_target_layer
0.95,22,5,full,1536,1,1,,,not_target_layer
0.95,22,6,full,1536,1,1,,,not_target_layer
0.95,22,7,full,1536,1,1,,,not_target_layer
0.95,23,0,full,1536,1,1,,,not_target_layer
0.95,23,1,full,1536,1,1,,,not_target_layer
0.95,23,2,full,1536,1,1,,,not_target_layer
0.95,23,3,full,1536,1,1,,,not_target_layer
0.95,23,4,full,1536,1,1,,,not_target_layer
0.95,23,5,full,1536,1,1,,,not_target_layer
0.95,23,6,full,1536,1,1,,,not_target_layer
0.95,23,7,full,1536,1,1,,,not_target_layer
0.95,24,0,compact,768,0.5,0,,,14-head safe frontier plus candidate 20:7 at 50% per-head budget.
0.95,24,1,compact,768,0.5,0,,,14-head safe frontier plus candidate 20:7 at 50% per-head budget.
0.95,24,2,compact,768,0.5,0,,,14-head safe frontier plus candidate 20:7 at 50% per-head budget.
0.95,24,3,compact,768,0.5,0,,,14-head safe frontier plus candidate 20:7 at 50% per-head budget.
0.95,24,4,compact,768,0.5,0,,,14-head safe frontier plus candidate 20:7 at 50% per-head budget.
0.95,24,5,compact,768,0.5,0,,,14-head safe frontier plus candidate 20:7 at 50% per-head budget.
0.95,24,6,compact,768,0.5,0,,,14-head safe frontier plus candidate 20:7 at 50% per-head budget.
0.95,24,7,compact,768,0.5,0,,,14-head safe frontier plus candidate 20:7 at 50% per-head budget.
0.95,25,0,full,1536,1,1,,,not_target_layer
0.95,25,1,full,1536,1,1,,,not_target_layer
0.95,25,2,full,1536,1,1,,,not_target_layer
0.95,25,3,full,1536,1,1,,,not_target_layer
0.95,25,4,full,1536,1,1,,,not_target_layer
0.95,25,5,full,1536,1,1,,,not_target_layer
0.95,25,6,full,1536,1,1,,,not_target_layer
0.95,25,7,full,1536,1,1,,,not_target_layer
0.95,26,0,full,1536,1,1,,,not_target_layer
0.95,26,1,full,1536,1,1,,,not_target_layer
0.95,26,2,full,1536,1,1,,,not_target_layer
0.95,26,3,full,1536,1,1,,,not_target_layer
0.95,26,4,full,1536,1,1,,,not_target_layer
0.95,26,5,full,1536,1,1,,,not_target_layer
0.95,26,6,full,1536,1,1,,,not_target_layer
0.95,26,7,full,1536,1,1,,,not_target_layer
0.95,27,0,full,1536,1,1,,,not_target_layer
0.95,27,1,full,1536,1,1,,,not_target_layer
0.95,27,2,full,1536,1,1,,,not_target_layer
0.95,27,3,full,1536,1,1,,,not_target_layer
0.95,27,4,full,1536,1,1,,,not_target_layer
0.95,27,5,full,1536,1,1,,,not_target_layer
0.95,27,6,full,1536,1,1,,,not_target_layer
0.95,27,7,full,1536,1,1,,,not_target_layer
