method,recovery_variant,budget,budget_fraction,direct_train_r2,direct_val_r2,fitv_train_r2,fitv_val_r2,learned_value_train_r2,learned_value_val_r2,mlp_train_r2,mlp_val_r2,fused_train_r2,fused_val_r2,recovery_train_r2,recovery_val_r2,recovery_gain_vs_direct,recovery_gain_vs_fitv,train_loss_initial,train_loss_final,fused_train_loss_initial,fused_train_loss_final,doc_index,text_file,layer,kv_head,query_group,selector
mlp_residual,ridge_value_recovery,64,0.125,0.445181,-0.422972,0.631034,0.153909,0.637176,0.149104,0.697818,0.0857822,0.762028,0.108463,0.631034,0.153909,0.576881,0,4.41983,2.39166,2.95808,1.88346,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,21,0,2,highest
mlp_residual,fused_residual,64,0.125,0.67146,-0.204033,0.760605,0.173601,0.771827,0.172994,0.853858,0.159814,0.874053,0.179689,0.874053,0.179689,0.383722,0.00608742,1.01303,0.432674,0.751159,0.372884,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,21,1,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.468689,-0.70849,0.705198,0.211838,0.7208,0.207995,0.796802,0.104116,0.831965,0.180927,0.705198,0.211838,0.920328,0,0.863234,0.315123,0.5213,0.260591,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,21,2,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.350523,-0.452811,0.486399,-0.0224953,0.492995,-0.0265542,0.593553,-0.110314,0.680152,-0.163823,0.486399,-0.0224953,0.430316,0,3.77934,2.34271,3.0005,1.84356,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,21,3,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.366877,-0.549232,0.567486,-0.0173908,0.571361,-0.0265143,0.611721,-0.110203,0.716012,-0.122076,0.567486,-0.0173908,0.531842,0,7.1891,4.38533,4.93101,3.20744,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,21,4,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.593502,-0.650181,0.699671,0.239959,0.710232,0.235252,0.791372,0.110307,0.830401,0.16197,0.699671,0.239959,0.89014,0,1.21661,0.6051,0.914244,0.491903,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,21,5,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.571918,-0.275985,0.678372,0.227923,0.684917,0.220315,0.734189,0.136046,0.788293,0.119668,0.678372,0.227923,0.503908,0,2.26854,1.38127,1.70675,1.10012,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,21,6,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.509241,-0.203954,0.633952,0.212724,0.642493,0.207337,0.701168,0.139312,0.752694,0.109603,0.633952,0.212724,0.416678,0,1.63537,0.984758,1.24979,0.814963,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,21,7,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.35877,-0.519292,0.650835,0.256545,0.656662,0.254312,0.685693,0.112859,0.774093,0.171925,0.650835,0.256545,0.775837,0,5.35532,2.60096,2.93376,1.86943,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,21,0,2,highest
mlp_residual,learned_compact_values,64,0.125,0.660064,-0.0350857,0.754344,0.265041,0.7647,0.267623,0.827787,0.224979,0.85996,0.229418,0.7647,0.267623,0.302708,0.00258172,1.0884,0.518002,0.783694,0.42123,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,21,1,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.466905,-0.508636,0.682008,0.174971,0.698036,0.162252,0.771208,0.0504199,0.818264,0.107753,0.682008,0.174971,0.683607,0,0.819254,0.333412,0.499979,0.264839,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,21,2,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.430175,-0.466202,0.583746,-0.011173,0.59131,-0.0145813,0.674426,-0.106326,0.742655,-0.15139,0.583746,-0.011173,0.455029,0,2.6719,1.50116,1.96598,1.18656,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,21,3,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.507189,-0.309141,0.657235,0.104507,0.661173,0.0978882,0.70313,0.0303104,0.780938,-0.0174696,0.657235,0.104507,0.413647,0,5.82584,3.47803,4.05696,2.56646,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,21,4,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.599556,-0.315988,0.741216,0.390414,0.751025,0.388953,0.825786,0.259428,0.861118,0.283002,0.741216,0.390414,0.706401,0,1.39727,0.587192,0.911677,0.468106,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,21,5,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.605316,-0.153959,0.732491,0.337503,0.739243,0.32952,0.788469,0.234864,0.833464,0.210916,0.732491,0.337503,0.491462,0,2.15886,1.13713,1.4798,0.895252,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,21,6,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.562501,-0.269371,0.709651,0.114045,0.719809,0.10998,0.780575,0.0404054,0.822029,0.0152463,0.709651,0.114045,0.383416,0,1.29868,0.624967,0.865519,0.506897,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,21,7,2,highest
