method,recovery_variant,budget,budget_fraction,direct_train_r2,direct_val_r2,fitv_train_r2,fitv_val_r2,learned_value_train_r2,learned_value_val_r2,mlp_train_r2,mlp_val_r2,recovery_train_r2,recovery_val_r2,recovery_gain_vs_direct,recovery_gain_vs_fitv,train_loss_initial,train_loss_final,doc_index,text_file,layer,kv_head,query_group,selector
mlp_residual,ridge_value_recovery,64,0.125,-1.22791,-1.0198,0.622671,-0.125861,0.654927,-0.161216,0.596121,-0.412533,0.622671,-0.125861,0.893935,0,0.0748993,0.00711851,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,4,0,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.313164,-0.507927,0.559332,-0.000595927,0.606825,-0.0399348,0.616644,-0.0836358,0.559332,-0.000595927,0.507331,0,0.0631461,0.00915303,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,4,1,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.0453604,-0.20856,0.289759,-0.0540103,0.302262,-0.0737627,0.351205,-0.1193,0.289759,-0.0540103,0.154549,0,0.0972246,0.0409216,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,4,2,2,highest
mlp_residual,ridge_value_recovery,64,0.125,-0.106849,-0.71431,0.419017,-0.144713,0.444691,-0.181502,0.475426,-0.243815,0.419017,-0.144713,0.569597,0,0.071263,0.0175583,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,4,3,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.192131,-0.596617,0.38778,-0.0854127,0.417935,-0.150462,0.475924,-0.193511,0.38778,-0.0854127,0.511204,0,0.0713474,0.0226586,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,4,4,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.469913,0.0772139,0.52768,0.29098,0.567749,0.283232,0.587878,0.264237,0.52768,0.29098,0.213767,0,0.0582915,0.0167376,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,4,5,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.409209,0.0249418,0.531898,0.2734,0.556368,0.262784,0.577563,0.241828,0.531898,0.2734,0.248458,0,0.0927854,0.0322755,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,4,6,2,highest
mlp_residual,ridge_value_recovery,64,0.125,-0.0857947,-0.438157,0.297546,-0.0570203,0.312632,-0.0803704,0.372354,-0.167663,0.297546,-0.0570203,0.381137,0,0.122396,0.0410694,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,4,7,2,highest
mlp_residual,ridge_value_recovery,64,0.125,-1.24189,-1.40418,0.655124,-0.118716,0.684477,-0.150895,0.591861,-0.245544,0.655124,-0.118716,1.28546,0,0.0861859,0.0076791,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,4,0,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.355358,-0.354072,0.585079,0.0373949,0.634124,0.00385243,0.633999,-0.047678,0.585079,0.0373949,0.391467,0,0.0506492,0.00831847,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,4,1,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.0753464,-0.371111,0.317799,-0.104463,0.331309,-0.135664,0.374281,-0.186347,0.317799,-0.104463,0.266649,0,0.105974,0.0426327,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,4,2,2,highest
mlp_residual,ridge_value_recovery,64,0.125,-0.00652695,-0.716807,0.471208,-0.144362,0.495615,-0.180981,0.505512,-0.226071,0.471208,-0.144362,0.572445,0,0.0818938,0.0173532,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,4,3,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.181299,-0.568861,0.455566,-0.0795151,0.486153,-0.131758,0.520306,-0.17569,0.455566,-0.0795151,0.489346,0,0.0744052,0.0191268,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,4,4,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.487408,0.121856,0.549814,0.284563,0.59915,0.282006,0.622985,0.247483,0.549814,0.284563,0.162706,0,0.0554466,0.0120526,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,4,5,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.494109,0.11663,0.611589,0.346548,0.635903,0.336368,0.667253,0.312341,0.611589,0.346548,0.229918,0,0.0789613,0.0267438,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,4,6,2,highest
mlp_residual,ridge_value_recovery,64,0.125,-0.0411589,-0.546653,0.362186,-0.088686,0.376547,-0.119095,0.438173,-0.154348,0.362186,-0.088686,0.457967,0,0.110579,0.0378062,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,4,7,2,highest
