threshold,layer,kv_head,action,selected_budget,budget_fraction,quality,direct_val_r2,fitv_val_r2,reason
0.947,13,5,full,1536,1,1,,,not_target_layer
0.947,13,6,full,1536,1,1,,,not_target_layer
0.947,13,7,full,1536,1,1,,,not_target_layer
0.947,14,0,full,1536,1,1,,,not_target_layer
0.947,14,1,full,1536,1,1,,,not_target_layer
0.947,14,2,full,1536,1,1,,,not_target_layer
0.947,14,3,full,1536,1,1,,,not_target_layer
0.947,14,4,full,1536,1,1,,,not_target_layer
0.947,14,5,full,1536,1,1,,,not_target_layer
0.947,14,6,full,1536,1,1,,,not_target_layer
0.947,14,7,full,1536,1,1,,,not_target_layer
0.947,15,0,full,1536,1,1,,,not_target_layer
0.947,15,1,full,1536,1,1,,,not_target_layer
0.947,15,2,full,1536,1,1,,,not_target_layer
0.947,15,3,full,1536,1,1,,,not_target_layer
0.947,15,4,full,1536,1,1,,,not_target_layer
0.947,15,5,full,1536,1,1,,,not_target_layer
0.947,15,6,full,1536,1,1,,,not_target_layer
0.947,15,7,full,1536,1,1,,,not_target_layer
0.947,16,0,full,1536,1,1,,,not_target_layer
0.947,16,1,full,1536,1,1,,,not_target_layer
0.947,16,2,full,1536,1,1,,,not_target_layer
0.947,16,3,full,1536,1,1,,,not_target_layer
0.947,16,4,full,1536,1,1,,,not_target_layer
0.947,16,5,full,1536,1,1,,,not_target_layer
0.947,16,6,full,1536,1,1,,,not_target_layer
0.947,16,7,full,1536,1,1,,,not_target_layer
0.947,17,0,full,1536,1,1,,,not_target_layer
0.947,17,1,full,1536,1,1,,,not_target_layer
0.947,17,2,full,1536,1,1,,,not_target_layer
0.947,17,3,full,1536,1,1,,,not_target_layer
0.947,17,4,full,1536,1,1,,,not_target_layer
0.947,17,5,full,1536,1,1,,,not_target_layer
0.947,17,6,full,1536,1,1,,,not_target_layer
0.947,17,7,full,1536,1,1,,,not_target_layer
0.947,18,0,full,1536,1,1,,,not_target_layer
0.947,18,1,full,1536,1,1,,,not_target_layer
0.947,18,2,full,1536,1,1,,,not_target_layer
0.947,18,3,full,1536,1,1,,,not_target_layer
0.947,18,4,full,1536,1,1,,,not_target_layer
0.947,18,5,full,1536,1,1,,,not_target_layer
0.947,18,6,full,1536,1,1,,,not_target_layer
0.947,18,7,full,1536,1,1,,,not_target_layer
0.947,19,0,full,1536,1,1,,,not_target_layer
0.947,19,1,full,1536,1,1,,,not_target_layer
0.947,19,2,full,1536,1,1,,,not_target_layer
0.947,19,3,full,1536,1,1,,,not_target_layer
0.947,19,4,full,1536,1,1,,,not_target_layer
0.947,19,5,full,1536,1,1,,,not_target_layer
0.947,19,6,full,1536,1,1,,,not_target_layer
0.947,19,7,full,1536,1,1,,,not_target_layer
0.947,20,0,full,1536,1,1,,,not_target_layer
0.947,20,1,full,1536,1,1,,,not_target_layer
0.947,20,2,compact,768,0.5,0,,,"Layer24 safe seed plus 10:3,8:1,20:2,12:4,10:5,12:7 and candidate 12:1 at 50% per-head budget."
0.947,20,3,full,1536,1,1,,,not_target_layer
0.947,20,4,full,1536,1,1,,,not_target_layer
0.947,20,5,full,1536,1,1,,,not_target_layer
0.947,20,6,full,1536,1,1,,,not_target_layer
0.947,20,7,full,1536,1,1,,,not_target_layer
0.947,21,0,full,1536,1,1,,,not_target_layer
0.947,21,1,full,1536,1,1,,,not_target_layer
0.947,21,2,full,1536,1,1,,,not_target_layer
0.947,21,3,full,1536,1,1,,,not_target_layer
0.947,21,4,full,1536,1,1,,,not_target_layer
0.947,21,5,full,1536,1,1,,,not_target_layer
0.947,21,6,full,1536,1,1,,,not_target_layer
0.947,21,7,full,1536,1,1,,,not_target_layer
0.947,22,0,full,1536,1,1,,,not_target_layer
0.947,22,1,full,1536,1,1,,,not_target_layer
0.947,22,2,full,1536,1,1,,,not_target_layer
0.947,22,3,full,1536,1,1,,,not_target_layer
0.947,22,4,full,1536,1,1,,,not_target_layer
0.947,22,5,full,1536,1,1,,,not_target_layer
0.947,22,6,full,1536,1,1,,,not_target_layer
0.947,22,7,full,1536,1,1,,,not_target_layer
0.947,23,0,full,1536,1,1,,,not_target_layer
0.947,23,1,full,1536,1,1,,,not_target_layer
0.947,23,2,full,1536,1,1,,,not_target_layer
0.947,23,3,full,1536,1,1,,,not_target_layer
0.947,23,4,full,1536,1,1,,,not_target_layer
