threshold,layer,kv_head,action,selected_budget,budget_fraction,quality,direct_val_r2,fitv_val_r2,reason
0.953,0,0,full,1536,1,1,,,not_target_layer
0.953,0,1,full,1536,1,1,,,not_target_layer
0.953,0,2,full,1536,1,1,,,not_target_layer
0.953,0,3,full,1536,1,1,,,not_target_layer
0.953,0,4,full,1536,1,1,,,not_target_layer
0.953,0,5,full,1536,1,1,,,not_target_layer
0.953,0,6,full,1536,1,1,,,not_target_layer
0.953,0,7,full,1536,1,1,,,not_target_layer
0.953,1,0,full,1536,1,1,,,not_target_layer
0.953,1,1,full,1536,1,1,,,not_target_layer
0.953,1,2,full,1536,1,1,,,not_target_layer
0.953,1,3,full,1536,1,1,,,not_target_layer
0.953,1,4,full,1536,1,1,,,not_target_layer
0.953,1,5,full,1536,1,1,,,not_target_layer
0.953,1,6,full,1536,1,1,,,not_target_layer
0.953,1,7,full,1536,1,1,,,not_target_layer
0.953,2,0,full,1536,1,1,,,not_target_layer
0.953,2,1,full,1536,1,1,,,not_target_layer
0.953,2,2,full,1536,1,1,,,not_target_layer
0.953,2,3,full,1536,1,1,,,not_target_layer
0.953,2,4,full,1536,1,1,,,not_target_layer
0.953,2,5,full,1536,1,1,,,not_target_layer
0.953,2,6,full,1536,1,1,,,not_target_layer
0.953,2,7,full,1536,1,1,,,not_target_layer
0.953,3,0,full,1536,1,1,,,not_target_layer
0.953,3,1,full,1536,1,1,,,not_target_layer
0.953,3,2,full,1536,1,1,,,not_target_layer
0.953,3,3,full,1536,1,1,,,not_target_layer
0.953,3,4,full,1536,1,1,,,not_target_layer
0.953,3,5,full,1536,1,1,,,not_target_layer
0.953,3,6,full,1536,1,1,,,not_target_layer
0.953,3,7,full,1536,1,1,,,not_target_layer
0.953,4,0,full,1536,1,1,,,not_target_layer
0.953,4,1,full,1536,1,1,,,not_target_layer
0.953,4,2,full,1536,1,1,,,not_target_layer
0.953,4,3,full,1536,1,1,,,not_target_layer
0.953,4,4,full,1536,1,1,,,not_target_layer
0.953,4,5,full,1536,1,1,,,not_target_layer
0.953,4,6,full,1536,1,1,,,not_target_layer
0.953,4,7,full,1536,1,1,,,not_target_layer
0.953,5,0,full,1536,1,1,,,not_target_layer
0.953,5,1,full,1536,1,1,,,not_target_layer
0.953,5,2,full,1536,1,1,,,not_target_layer
0.953,5,3,full,1536,1,1,,,not_target_layer
0.953,5,4,full,1536,1,1,,,not_target_layer
0.953,5,5,full,1536,1,1,,,not_target_layer
0.953,5,6,full,1536,1,1,,,not_target_layer
0.953,5,7,full,1536,1,1,,,not_target_layer
0.953,6,0,full,1536,1,1,,,not_target_layer
0.953,6,1,full,1536,1,1,,,not_target_layer
0.953,6,2,full,1536,1,1,,,not_target_layer
0.953,6,3,full,1536,1,1,,,not_target_layer
0.953,6,4,full,1536,1,1,,,not_target_layer
0.953,6,5,full,1536,1,1,,,not_target_layer
0.953,6,6,full,1536,1,1,,,not_target_layer
0.953,6,7,full,1536,1,1,,,not_target_layer
0.953,7,0,full,1536,1,1,,,not_target_layer
0.953,7,1,full,1536,1,1,,,not_target_layer
0.953,7,2,full,1536,1,1,,,not_target_layer
0.953,7,3,full,1536,1,1,,,not_target_layer
0.953,7,4,full,1536,1,1,,,not_target_layer
0.953,7,5,full,1536,1,1,,,not_target_layer
0.953,7,6,full,1536,1,1,,,not_target_layer
0.953,7,7,full,1536,1,1,,,not_target_layer
0.953,8,0,full,1536,1,1,,,not_target_layer
0.953,8,1,compact,768,0.5,0,,,17-head safe frontier plus candidate 12:6 at 50% per-head budget.
0.953,8,2,full,1536,1,1,,,not_target_layer
0.953,8,3,compact,768,0.5,0,,,17-head safe frontier plus candidate 12:6 at 50% per-head budget.
0.953,8,4,full,1536,1,1,,,not_target_layer
0.953,8,5,full,1536,1,1,,,not_target_layer
0.953,8,6,full,1536,1,1,,,not_target_layer
0.953,8,7,full,1536,1,1,,,not_target_layer
0.953,9,0,full,1536,1,1,,,not_target_layer
0.953,9,1,full,1536,1,1,,,not_target_layer
0.953,9,2,full,1536,1,1,,,not_target_layer
0.953,9,3,full,1536,1,1,,,not_target_layer
0.953,9,4,full,1536,1,1,,,not_target_layer
0.953,9,5,full,1536,1,1,,,not_target_layer
0.953,9,6,full,1536,1,1,,,not_target_layer
0.953,9,7,full,1536,1,1,,,not_target_layer
0.953,10,0,full,1536,1,1,,,not_target_layer
0.953,10,1,full,1536,1,1,,,not_target_layer
0.953,10,2,full,1536,1,1,,,not_target_layer
0.953,10,3,compact,768,0.5,0,,,17-head safe frontier plus candidate 12:6 at 50% per-head budget.
0.953,10,4,full,1536,1,1,,,not_target_layer
0.953,10,5,compact,768,0.5,0,,,17-head safe frontier plus candidate 12:6 at 50% per-head budget.
0.953,10,6,full,1536,1,1,,,not_target_layer
0.953,10,7,full,1536,1,1,,,not_target_layer
0.953,11,0,full,1536,1,1,,,not_target_layer
0.953,11,1,full,1536,1,1,,,not_target_layer
0.953,11,2,full,1536,1,1,,,not_target_layer
0.953,11,3,full,1536,1,1,,,not_target_layer
0.953,11,4,full,1536,1,1,,,not_target_layer
0.953,11,5,full,1536,1,1,,,not_target_layer
0.953,11,6,full,1536,1,1,,,not_target_layer
0.953,11,7,full,1536,1,1,,,not_target_layer
0.953,12,0,full,1536,1,1,,,not_target_layer
0.953,12,1,full,1536,1,1,,,not_target_layer
0.953,12,2,full,1536,1,1,,,not_target_layer
0.953,12,3,full,1536,1,1,,,not_target_layer
0.953,12,4,compact,768,0.5,0,,,17-head safe frontier plus candidate 12:6 at 50% per-head budget.
0.953,12,5,compact,768,0.5,0,,,17-head safe frontier plus candidate 12:6 at 50% per-head budget.
0.953,12,6,compact,768,0.5,0,,,17-head safe frontier plus candidate 12:6 at 50% per-head budget.
0.953,12,7,compact,768,0.5,0,,,17-head safe frontier plus candidate 12:6 at 50% per-head budget.
0.953,13,0,full,1536,1,1,,,not_target_layer
0.953,13,1,full,1536,1,1,,,not_target_layer
0.953,13,2,full,1536,1,1,,,not_target_layer
0.953,13,3,full,1536,1,1,,,not_target_layer
0.953,13,4,full,1536,1,1,,,not_target_layer
