threshold,layer,kv_head,action,selected_budget,budget_fraction,quality,direct_val_r2,fitv_val_r2,reason
0.944,14,2,full,1536,1,1,,,not_target_layer
0.944,14,3,full,1536,1,1,,,not_target_layer
0.944,14,4,full,1536,1,1,,,not_target_layer
0.944,14,5,full,1536,1,1,,,not_target_layer
0.944,14,6,full,1536,1,1,,,not_target_layer
0.944,14,7,full,1536,1,1,,,not_target_layer
0.944,15,0,full,1536,1,1,,,not_target_layer
0.944,15,1,full,1536,1,1,,,not_target_layer
0.944,15,2,full,1536,1,1,,,not_target_layer
0.944,15,3,full,1536,1,1,,,not_target_layer
0.944,15,4,full,1536,1,1,,,not_target_layer
0.944,15,5,full,1536,1,1,,,not_target_layer
0.944,15,6,full,1536,1,1,,,not_target_layer
0.944,15,7,full,1536,1,1,,,not_target_layer
0.944,16,0,full,1536,1,1,,,not_target_layer
0.944,16,1,full,1536,1,1,,,not_target_layer
0.944,16,2,full,1536,1,1,,,not_target_layer
0.944,16,3,full,1536,1,1,,,not_target_layer
0.944,16,4,full,1536,1,1,,,not_target_layer
0.944,16,5,full,1536,1,1,,,not_target_layer
0.944,16,6,full,1536,1,1,,,not_target_layer
0.944,16,7,full,1536,1,1,,,not_target_layer
0.944,17,0,full,1536,1,1,,,not_target_layer
0.944,17,1,full,1536,1,1,,,not_target_layer
0.944,17,2,full,1536,1,1,,,not_target_layer
0.944,17,3,full,1536,1,1,,,not_target_layer
0.944,17,4,full,1536,1,1,,,not_target_layer
0.944,17,5,full,1536,1,1,,,not_target_layer
0.944,17,6,full,1536,1,1,,,not_target_layer
0.944,17,7,full,1536,1,1,,,not_target_layer
0.944,18,0,full,1536,1,1,,,not_target_layer
0.944,18,1,full,1536,1,1,,,not_target_layer
0.944,18,2,full,1536,1,1,,,not_target_layer
0.944,18,3,full,1536,1,1,,,not_target_layer
0.944,18,4,full,1536,1,1,,,not_target_layer
0.944,18,5,full,1536,1,1,,,not_target_layer
0.944,18,6,full,1536,1,1,,,not_target_layer
0.944,18,7,full,1536,1,1,,,not_target_layer
0.944,19,0,full,1536,1,1,,,not_target_layer
0.944,19,1,full,1536,1,1,,,not_target_layer
0.944,19,2,full,1536,1,1,,,not_target_layer
0.944,19,3,full,1536,1,1,,,not_target_layer
0.944,19,4,full,1536,1,1,,,not_target_layer
0.944,19,5,full,1536,1,1,,,not_target_layer
0.944,19,6,full,1536,1,1,,,not_target_layer
0.944,19,7,full,1536,1,1,,,not_target_layer
0.944,20,0,full,1536,1,1,,,not_target_layer
0.944,20,1,full,1536,1,1,,,not_target_layer
0.944,20,2,compact,768,0.5,0,,,"Layer24 safe seed plus 10:3,8:1,20:2,12:4 and candidate 10:5 at 50% per-head budget."
0.944,20,3,full,1536,1,1,,,not_target_layer
0.944,20,4,full,1536,1,1,,,not_target_layer
0.944,20,5,full,1536,1,1,,,not_target_layer
0.944,20,6,full,1536,1,1,,,not_target_layer
0.944,20,7,full,1536,1,1,,,not_target_layer
0.944,21,0,full,1536,1,1,,,not_target_layer
0.944,21,1,full,1536,1,1,,,not_target_layer
0.944,21,2,full,1536,1,1,,,not_target_layer
0.944,21,3,full,1536,1,1,,,not_target_layer
0.944,21,4,full,1536,1,1,,,not_target_layer
0.944,21,5,full,1536,1,1,,,not_target_layer
0.944,21,6,full,1536,1,1,,,not_target_layer
0.944,21,7,full,1536,1,1,,,not_target_layer
0.944,22,0,full,1536,1,1,,,not_target_layer
0.944,22,1,full,1536,1,1,,,not_target_layer
0.944,22,2,full,1536,1,1,,,not_target_layer
0.944,22,3,full,1536,1,1,,,not_target_layer
0.944,22,4,full,1536,1,1,,,not_target_layer
0.944,22,5,full,1536,1,1,,,not_target_layer
0.944,22,6,full,1536,1,1,,,not_target_layer
0.944,22,7,full,1536,1,1,,,not_target_layer
0.944,23,0,full,1536,1,1,,,not_target_layer
0.944,23,1,full,1536,1,1,,,not_target_layer
0.944,23,2,full,1536,1,1,,,not_target_layer
0.944,23,3,full,1536,1,1,,,not_target_layer
0.944,23,4,full,1536,1,1,,,not_target_layer
0.944,23,5,full,1536,1,1,,,not_target_layer
0.944,23,6,full,1536,1,1,,,not_target_layer
0.944,23,7,full,1536,1,1,,,not_target_layer
0.944,24,0,compact,768,0.5,0,,,"Layer24 safe seed plus 10:3,8:1,20:2,12:4 and candidate 10:5 at 50% per-head budget."
0.944,24,1,compact,768,0.5,0,,,"Layer24 safe seed plus 10:3,8:1,20:2,12:4 and candidate 10:5 at 50% per-head budget."
0.944,24,2,compact,768,0.5,0,,,"Layer24 safe seed plus 10:3,8:1,20:2,12:4 and candidate 10:5 at 50% per-head budget."
0.944,24,3,compact,768,0.5,0,,,"Layer24 safe seed plus 10:3,8:1,20:2,12:4 and candidate 10:5 at 50% per-head budget."
0.944,24,4,compact,768,0.5,0,,,"Layer24 safe seed plus 10:3,8:1,20:2,12:4 and candidate 10:5 at 50% per-head budget."
0.944,24,5,compact,768,0.5,0,,,"Layer24 safe seed plus 10:3,8:1,20:2,12:4 and candidate 10:5 at 50% per-head budget."
0.944,24,6,compact,768,0.5,0,,,"Layer24 safe seed plus 10:3,8:1,20:2,12:4 and candidate 10:5 at 50% per-head budget."
0.944,24,7,compact,768,0.5,0,,,"Layer24 safe seed plus 10:3,8:1,20:2,12:4 and candidate 10:5 at 50% per-head budget."
0.944,25,0,full,1536,1,1,,,not_target_layer
0.944,25,1,full,1536,1,1,,,not_target_layer
0.944,25,2,full,1536,1,1,,,not_target_layer
0.944,25,3,full,1536,1,1,,,not_target_layer
0.944,25,4,full,1536,1,1,,,not_target_layer
0.944,25,5,full,1536,1,1,,,not_target_layer
0.944,25,6,full,1536,1,1,,,not_target_layer
0.944,25,7,full,1536,1,1,,,not_target_layer
0.944,26,0,full,1536,1,1,,,not_target_layer
0.944,26,1,full,1536,1,1,,,not_target_layer
0.944,26,2,full,1536,1,1,,,not_target_layer
0.944,26,3,full,1536,1,1,,,not_target_layer
0.944,26,4,full,1536,1,1,,,not_target_layer
0.944,26,5,full,1536,1,1,,,not_target_layer
0.944,26,6,full,1536,1,1,,,not_target_layer
0.944,26,7,full,1536,1,1,,,not_target_layer
0.944,27,0,full,1536,1,1,,,not_target_layer
0.944,27,1,full,1536,1,1,,,not_target_layer
0.944,27,2,full,1536,1,1,,,not_target_layer
0.944,27,3,full,1536,1,1,,,not_target_layer
0.944,27,4,full,1536,1,1,,,not_target_layer
0.944,27,5,full,1536,1,1,,,not_target_layer
0.944,27,6,full,1536,1,1,,,not_target_layer
0.944,27,7,full,1536,1,1,,,not_target_layer
