threshold,layer,kv_head,action,selected_budget,budget_fraction,quality,direct_val_r2,fitv_val_r2,reason
0.959,0,0,full,1536,1,1,,,not_target_layer
0.959,0,1,full,1536,1,1,,,not_target_layer
0.959,0,2,full,1536,1,1,,,not_target_layer
0.959,0,3,full,1536,1,1,,,not_target_layer
0.959,0,4,full,1536,1,1,,,not_target_layer
0.959,0,5,full,1536,1,1,,,not_target_layer
0.959,0,6,full,1536,1,1,,,not_target_layer
0.959,0,7,full,1536,1,1,,,not_target_layer
0.959,1,0,full,1536,1,1,,,not_target_layer
0.959,1,1,full,1536,1,1,,,not_target_layer
0.959,1,2,full,1536,1,1,,,not_target_layer
0.959,1,3,full,1536,1,1,,,not_target_layer
0.959,1,4,full,1536,1,1,,,not_target_layer
0.959,1,5,full,1536,1,1,,,not_target_layer
0.959,1,6,full,1536,1,1,,,not_target_layer
0.959,1,7,full,1536,1,1,,,not_target_layer
0.959,2,0,full,1536,1,1,,,not_target_layer
0.959,2,1,full,1536,1,1,,,not_target_layer
0.959,2,2,full,1536,1,1,,,not_target_layer
0.959,2,3,full,1536,1,1,,,not_target_layer
0.959,2,4,full,1536,1,1,,,not_target_layer
0.959,2,5,full,1536,1,1,,,not_target_layer
0.959,2,6,full,1536,1,1,,,not_target_layer
0.959,2,7,full,1536,1,1,,,not_target_layer
0.959,3,0,full,1536,1,1,,,not_target_layer
0.959,3,1,full,1536,1,1,,,not_target_layer
0.959,3,2,full,1536,1,1,,,not_target_layer
0.959,3,3,full,1536,1,1,,,not_target_layer
0.959,3,4,full,1536,1,1,,,not_target_layer
0.959,3,5,full,1536,1,1,,,not_target_layer
0.959,3,6,full,1536,1,1,,,not_target_layer
0.959,3,7,full,1536,1,1,,,not_target_layer
0.959,4,0,full,1536,1,1,,,not_target_layer
0.959,4,1,full,1536,1,1,,,not_target_layer
0.959,4,2,full,1536,1,1,,,not_target_layer
0.959,4,3,full,1536,1,1,,,not_target_layer
0.959,4,4,full,1536,1,1,,,not_target_layer
0.959,4,5,full,1536,1,1,,,not_target_layer
0.959,4,6,full,1536,1,1,,,not_target_layer
0.959,4,7,full,1536,1,1,,,not_target_layer
0.959,5,0,full,1536,1,1,,,not_target_layer
0.959,5,1,full,1536,1,1,,,not_target_layer
0.959,5,2,full,1536,1,1,,,not_target_layer
0.959,5,3,full,1536,1,1,,,not_target_layer
0.959,5,4,full,1536,1,1,,,not_target_layer
0.959,5,5,full,1536,1,1,,,not_target_layer
0.959,5,6,full,1536,1,1,,,not_target_layer
0.959,5,7,full,1536,1,1,,,not_target_layer
0.959,6,0,full,1536,1,1,,,not_target_layer
0.959,6,1,full,1536,1,1,,,not_target_layer
