threshold,layer,kv_head,action,selected_budget,budget_fraction,quality,direct_val_r2,fitv_val_r2,reason
0.945,13,7,full,1536,1,1,,,not_target_layer
0.945,14,0,full,1536,1,1,,,not_target_layer
0.945,14,1,full,1536,1,1,,,not_target_layer
0.945,14,2,full,1536,1,1,,,not_target_layer
0.945,14,3,full,1536,1,1,,,not_target_layer
0.945,14,4,full,1536,1,1,,,not_target_layer
0.945,14,5,full,1536,1,1,,,not_target_layer
0.945,14,6,full,1536,1,1,,,not_target_layer
0.945,14,7,full,1536,1,1,,,not_target_layer
0.945,15,0,full,1536,1,1,,,not_target_layer
0.945,15,1,full,1536,1,1,,,not_target_layer
0.945,15,2,full,1536,1,1,,,not_target_layer
0.945,15,3,full,1536,1,1,,,not_target_layer
0.945,15,4,full,1536,1,1,,,not_target_layer
0.945,15,5,full,1536,1,1,,,not_target_layer
0.945,15,6,full,1536,1,1,,,not_target_layer
0.945,15,7,full,1536,1,1,,,not_target_layer
0.945,16,0,full,1536,1,1,,,not_target_layer
0.945,16,1,full,1536,1,1,,,not_target_layer
0.945,16,2,full,1536,1,1,,,not_target_layer
0.945,16,3,full,1536,1,1,,,not_target_layer
0.945,16,4,full,1536,1,1,,,not_target_layer
0.945,16,5,full,1536,1,1,,,not_target_layer
0.945,16,6,full,1536,1,1,,,not_target_layer
0.945,16,7,full,1536,1,1,,,not_target_layer
0.945,17,0,full,1536,1,1,,,not_target_layer
0.945,17,1,full,1536,1,1,,,not_target_layer
0.945,17,2,full,1536,1,1,,,not_target_layer
0.945,17,3,full,1536,1,1,,,not_target_layer
0.945,17,4,full,1536,1,1,,,not_target_layer
0.945,17,5,full,1536,1,1,,,not_target_layer
0.945,17,6,full,1536,1,1,,,not_target_layer
0.945,17,7,full,1536,1,1,,,not_target_layer
0.945,18,0,full,1536,1,1,,,not_target_layer
0.945,18,1,full,1536,1,1,,,not_target_layer
0.945,18,2,full,1536,1,1,,,not_target_layer
0.945,18,3,full,1536,1,1,,,not_target_layer
0.945,18,4,full,1536,1,1,,,not_target_layer
0.945,18,5,full,1536,1,1,,,not_target_layer
0.945,18,6,full,1536,1,1,,,not_target_layer
0.945,18,7,full,1536,1,1,,,not_target_layer
0.945,19,0,full,1536,1,1,,,not_target_layer
0.945,19,1,full,1536,1,1,,,not_target_layer
