threshold,layer,kv_head,action,selected_budget,budget_fraction,quality,direct_val_r2,fitv_val_r2,reason
0.951,14,3,full,1536,1,1,,,not_target_layer
0.951,14,4,full,1536,1,1,,,not_target_layer
0.951,14,5,full,1536,1,1,,,not_target_layer
0.951,14,6,full,1536,1,1,,,not_target_layer
0.951,14,7,full,1536,1,1,,,not_target_layer
0.951,15,0,full,1536,1,1,,,not_target_layer
0.951,15,1,full,1536,1,1,,,not_target_layer
0.951,15,2,full,1536,1,1,,,not_target_layer
0.951,15,3,full,1536,1,1,,,not_target_layer
0.951,15,4,full,1536,1,1,,,not_target_layer
0.951,15,5,full,1536,1,1,,,not_target_layer
0.951,15,6,full,1536,1,1,,,not_target_layer
0.951,15,7,full,1536,1,1,,,not_target_layer
0.951,16,0,full,1536,1,1,,,not_target_layer
0.951,16,1,full,1536,1,1,,,not_target_layer
0.951,16,2,full,1536,1,1,,,not_target_layer
0.951,16,3,full,1536,1,1,,,not_target_layer
0.951,16,4,full,1536,1,1,,,not_target_layer
0.951,16,5,full,1536,1,1,,,not_target_layer
0.951,16,6,full,1536,1,1,,,not_target_layer
0.951,16,7,full,1536,1,1,,,not_target_layer
0.951,17,0,full,1536,1,1,,,not_target_layer
0.951,17,1,full,1536,1,1,,,not_target_layer
0.951,17,2,full,1536,1,1,,,not_target_layer
0.951,17,3,full,1536,1,1,,,not_target_layer
0.951,17,4,full,1536,1,1,,,not_target_layer
0.951,17,5,full,1536,1,1,,,not_target_layer
0.951,17,6,full,1536,1,1,,,not_target_layer
0.951,17,7,full,1536,1,1,,,not_target_layer
0.951,18,0,full,1536,1,1,,,not_target_layer
0.951,18,1,full,1536,1,1,,,not_target_layer
0.951,18,2,full,1536,1,1,,,not_target_layer
0.951,18,3,full,1536,1,1,,,not_target_layer
0.951,18,4,full,1536,1,1,,,not_target_layer
0.951,18,5,full,1536,1,1,,,not_target_layer
0.951,18,6,full,1536,1,1,,,not_target_layer
0.951,18,7,full,1536,1,1,,,not_target_layer
0.951,19,0,full,1536,1,1,,,not_target_layer
0.951,19,1,full,1536,1,1,,,not_target_layer
0.951,19,2,full,1536,1,1,,,not_target_layer
0.951,19,3,full,1536,1,1,,,not_target_layer
0.951,19,4,full,1536,1,1,,,not_target_layer
0.951,19,5,full,1536,1,1,,,not_target_layer
0.951,19,6,full,1536,1,1,,,not_target_layer
0.951,19,7,full,1536,1,1,,,not_target_layer
0.951,20,0,full,1536,1,1,,,not_target_layer
0.951,20,1,full,1536,1,1,,,not_target_layer
0.951,20,2,compact,768,0.5,0,,,15-head safe frontier plus candidate 8:3 at 50% per-head budget.
0.951,20,3,full,1536,1,1,,,not_target_layer
0.951,20,4,full,1536,1,1,,,not_target_layer
0.951,20,5,full,1536,1,1,,,not_target_layer
0.951,20,6,full,1536,1,1,,,not_target_layer
0.951,20,7,compact,768,0.5,0,,,15-head safe frontier plus candidate 8:3 at 50% per-head budget.
0.951,21,0,full,1536,1,1,,,not_target_layer
0.951,21,1,full,1536,1,1,,,not_target_layer
0.951,21,2,full,1536,1,1,,,not_target_layer
0.951,21,3,full,1536,1,1,,,not_target_layer
0.951,21,4,full,1536,1,1,,,not_target_layer
0.951,21,5,full,1536,1,1,,,not_target_layer
0.951,21,6,full,1536,1,1,,,not_target_layer
0.951,21,7,full,1536,1,1,,,not_target_layer
0.951,22,0,full,1536,1,1,,,not_target_layer
0.951,22,1,full,1536,1,1,,,not_target_layer
0.951,22,2,full,1536,1,1,,,not_target_layer
0.951,22,3,full,1536,1,1,,,not_target_layer
0.951,22,4,full,1536,1,1,,,not_target_layer
0.951,22,5,full,1536,1,1,,,not_target_layer
0.951,22,6,full,1536,1,1,,,not_target_layer
0.951,22,7,full,1536,1,1,,,not_target_layer
0.951,23,0,full,1536,1,1,,,not_target_layer
0.951,23,1,full,1536,1,1,,,not_target_layer
0.951,23,2,full,1536,1,1,,,not_target_layer
0.951,23,3,full,1536,1,1,,,not_target_layer
0.951,23,4,full,1536,1,1,,,not_target_layer
0.951,23,5,full,1536,1,1,,,not_target_layer
0.951,23,6,full,1536,1,1,,,not_target_layer
0.951,23,7,full,1536,1,1,,,not_target_layer
0.951,24,0,compact,768,0.5,0,,,15-head safe frontier plus candidate 8:3 at 50% per-head budget.
0.951,24,1,compact,768,0.5,0,,,15-head safe frontier plus candidate 8:3 at 50% per-head budget.
0.951,24,2,compact,768,0.5,0,,,15-head safe frontier plus candidate 8:3 at 50% per-head budget.
0.951,24,3,compact,768,0.5,0,,,15-head safe frontier plus candidate 8:3 at 50% per-head budget.
0.951,24,4,compact,768,0.5,0,,,15-head safe frontier plus candidate 8:3 at 50% per-head budget.
0.951,24,5,compact,768,0.5,0,,,15-head safe frontier plus candidate 8:3 at 50% per-head budget.
0.951,24,6,compact,768,0.5,0,,,15-head safe frontier plus candidate 8:3 at 50% per-head budget.
0.951,24,7,compact,768,0.5,0,,,15-head safe frontier plus candidate 8:3 at 50% per-head budget.
0.951,25,0,full,1536,1,1,,,not_target_layer
0.951,25,1,full,1536,1,1,,,not_target_layer
0.951,25,2,full,1536,1,1,,,not_target_layer
0.951,25,3,full,1536,1,1,,,not_target_layer
0.951,25,4,full,1536,1,1,,,not_target_layer
0.951,25,5,full,1536,1,1,,,not_target_layer
0.951,25,6,full,1536,1,1,,,not_target_layer
0.951,25,7,full,1536,1,1,,,not_target_layer
0.951,26,0,full,1536,1,1,,,not_target_layer
0.951,26,1,full,1536,1,1,,,not_target_layer
0.951,26,2,full,1536,1,1,,,not_target_layer
0.951,26,3,full,1536,1,1,,,not_target_layer
0.951,26,4,full,1536,1,1,,,not_target_layer
0.951,26,5,full,1536,1,1,,,not_target_layer
0.951,26,6,full,1536,1,1,,,not_target_layer
0.951,26,7,full,1536,1,1,,,not_target_layer
0.951,27,0,full,1536,1,1,,,not_target_layer
0.951,27,1,full,1536,1,1,,,not_target_layer
0.951,27,2,full,1536,1,1,,,not_target_layer
0.951,27,3,full,1536,1,1,,,not_target_layer
0.951,27,4,full,1536,1,1,,,not_target_layer
0.951,27,5,full,1536,1,1,,,not_target_layer
0.951,27,6,full,1536,1,1,,,not_target_layer
0.951,27,7,full,1536,1,1,,,not_target_layer
