threshold,layer,kv_head,action,selected_budget,budget_fraction,quality,direct_val_r2,fitv_val_r2,reason
0.942,14,6,full,1536,1,1,,,not_target_layer
0.942,14,7,full,1536,1,1,,,not_target_layer
0.942,15,0,full,1536,1,1,,,not_target_layer
0.942,15,1,full,1536,1,1,,,not_target_layer
0.942,15,2,full,1536,1,1,,,not_target_layer
0.942,15,3,full,1536,1,1,,,not_target_layer
0.942,15,4,full,1536,1,1,,,not_target_layer
0.942,15,5,full,1536,1,1,,,not_target_layer
0.942,15,6,full,1536,1,1,,,not_target_layer
0.942,15,7,full,1536,1,1,,,not_target_layer
0.942,16,0,full,1536,1,1,,,not_target_layer
0.942,16,1,full,1536,1,1,,,not_target_layer
0.942,16,2,full,1536,1,1,,,not_target_layer
0.942,16,3,full,1536,1,1,,,not_target_layer
0.942,16,4,full,1536,1,1,,,not_target_layer
0.942,16,5,full,1536,1,1,,,not_target_layer
0.942,16,6,full,1536,1,1,,,not_target_layer
0.942,16,7,full,1536,1,1,,,not_target_layer
0.942,17,0,full,1536,1,1,,,not_target_layer
0.942,17,1,full,1536,1,1,,,not_target_layer
0.942,17,2,full,1536,1,1,,,not_target_layer
0.942,17,3,full,1536,1,1,,,not_target_layer
0.942,17,4,full,1536,1,1,,,not_target_layer
0.942,17,5,full,1536,1,1,,,not_target_layer
0.942,17,6,full,1536,1,1,,,not_target_layer
0.942,17,7,full,1536,1,1,,,not_target_layer
0.942,18,0,full,1536,1,1,,,not_target_layer
0.942,18,1,full,1536,1,1,,,not_target_layer
0.942,18,2,full,1536,1,1,,,not_target_layer
0.942,18,3,full,1536,1,1,,,not_target_layer
0.942,18,4,full,1536,1,1,,,not_target_layer
0.942,18,5,full,1536,1,1,,,not_target_layer
0.942,18,6,full,1536,1,1,,,not_target_layer
0.942,18,7,full,1536,1,1,,,not_target_layer
0.942,19,0,full,1536,1,1,,,not_target_layer
0.942,19,1,full,1536,1,1,,,not_target_layer
0.942,19,2,full,1536,1,1,,,not_target_layer
0.942,19,3,full,1536,1,1,,,not_target_layer
0.942,19,4,full,1536,1,1,,,not_target_layer
0.942,19,5,full,1536,1,1,,,not_target_layer
0.942,19,6,full,1536,1,1,,,not_target_layer
0.942,19,7,full,1536,1,1,,,not_target_layer
0.942,20,0,full,1536,1,1,,,not_target_layer
0.942,20,1,full,1536,1,1,,,not_target_layer
0.942,20,2,compact,768,0.5,0,,,seed_l24_l10h3_l8h1_l20h2_add_l8h5
0.942,20,3,full,1536,1,1,,,not_target_layer
0.942,20,4,full,1536,1,1,,,not_target_layer
0.942,20,5,full,1536,1,1,,,not_target_layer
0.942,20,6,full,1536,1,1,,,not_target_layer
0.942,20,7,full,1536,1,1,,,not_target_layer
0.942,21,0,full,1536,1,1,,,not_target_layer
0.942,21,1,full,1536,1,1,,,not_target_layer
0.942,21,2,full,1536,1,1,,,not_target_layer
0.942,21,3,full,1536,1,1,,,not_target_layer
0.942,21,4,full,1536,1,1,,,not_target_layer
0.942,21,5,full,1536,1,1,,,not_target_layer
0.942,21,6,full,1536,1,1,,,not_target_layer
0.942,21,7,full,1536,1,1,,,not_target_layer
0.942,22,0,full,1536,1,1,,,not_target_layer
0.942,22,1,full,1536,1,1,,,not_target_layer
0.942,22,2,full,1536,1,1,,,not_target_layer
0.942,22,3,full,1536,1,1,,,not_target_layer
0.942,22,4,full,1536,1,1,,,not_target_layer
0.942,22,5,full,1536,1,1,,,not_target_layer
0.942,22,6,full,1536,1,1,,,not_target_layer
0.942,22,7,full,1536,1,1,,,not_target_layer
0.942,23,0,full,1536,1,1,,,not_target_layer
0.942,23,1,full,1536,1,1,,,not_target_layer
0.942,23,2,full,1536,1,1,,,not_target_layer
0.942,23,3,full,1536,1,1,,,not_target_layer
0.942,23,4,full,1536,1,1,,,not_target_layer
0.942,23,5,full,1536,1,1,,,not_target_layer
0.942,23,6,full,1536,1,1,,,not_target_layer
0.942,23,7,full,1536,1,1,,,not_target_layer
0.942,24,0,compact,768,0.5,0,,,seed_l24_l10h3_l8h1_l20h2_add_l8h5
0.942,24,1,compact,768,0.5,0,,,seed_l24_l10h3_l8h1_l20h2_add_l8h5
0.942,24,2,compact,768,0.5,0,,,seed_l24_l10h3_l8h1_l20h2_add_l8h5
0.942,24,3,compact,768,0.5,0,,,seed_l24_l10h3_l8h1_l20h2_add_l8h5
0.942,24,4,compact,768,0.5,0,,,seed_l24_l10h3_l8h1_l20h2_add_l8h5
0.942,24,5,compact,768,0.5,0,,,seed_l24_l10h3_l8h1_l20h2_add_l8h5
0.942,24,6,compact,768,0.5,0,,,seed_l24_l10h3_l8h1_l20h2_add_l8h5
0.942,24,7,compact,768,0.5,0,,,seed_l24_l10h3_l8h1_l20h2_add_l8h5
0.942,25,0,full,1536,1,1,,,not_target_layer
0.942,25,1,full,1536,1,1,,,not_target_layer
0.942,25,2,full,1536,1,1,,,not_target_layer
0.942,25,3,full,1536,1,1,,,not_target_layer
0.942,25,4,full,1536,1,1,,,not_target_layer
0.942,25,5,full,1536,1,1,,,not_target_layer
0.942,25,6,full,1536,1,1,,,not_target_layer
0.942,25,7,full,1536,1,1,,,not_target_layer
0.942,26,0,full,1536,1,1,,,not_target_layer
0.942,26,1,full,1536,1,1,,,not_target_layer
0.942,26,2,full,1536,1,1,,,not_target_layer
0.942,26,3,full,1536,1,1,,,not_target_layer
0.942,26,4,full,1536,1,1,,,not_target_layer
0.942,26,5,full,1536,1,1,,,not_target_layer
0.942,26,6,full,1536,1,1,,,not_target_layer
0.942,26,7,full,1536,1,1,,,not_target_layer
0.942,27,0,full,1536,1,1,,,not_target_layer
0.942,27,1,full,1536,1,1,,,not_target_layer
0.942,27,2,full,1536,1,1,,,not_target_layer
0.942,27,3,full,1536,1,1,,,not_target_layer
0.942,27,4,full,1536,1,1,,,not_target_layer
0.942,27,5,full,1536,1,1,,,not_target_layer
0.942,27,6,full,1536,1,1,,,not_target_layer
0.942,27,7,full,1536,1,1,,,not_target_layer
