method,recovery_variant,budget,budget_fraction,direct_train_r2,direct_val_r2,fitv_train_r2,fitv_val_r2,learned_value_train_r2,learned_value_val_r2,mlp_train_r2,mlp_val_r2,fused_train_r2,fused_val_r2,recovery_train_r2,recovery_val_r2,recovery_gain_vs_direct,recovery_gain_vs_fitv,train_loss_initial,train_loss_final,fused_train_loss_initial,fused_train_loss_final,doc_index,text_file,layer,kv_head,query_group,selector
mlp_residual,ridge_value_recovery,128,0.25,0.836968,-0.144179,0.739178,-0.0245572,0.752208,-0.0247147,0.902106,-0.0749066,0.890369,-0.092289,0.739178,-0.0245572,0.119621,0,1.08317,0.637393,1.73957,0.713814,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,24,0,2,highest
mlp_residual,mlp_residual,128,0.25,0.740892,0.131754,0.672619,0.183927,0.683042,0.188097,0.822454,0.22291,0.812332,0.222188,0.822454,0.22291,0.0911562,0.0389836,2.81698,1.91568,3.58772,2.02489,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,24,1,2,highest
mlp_residual,learned_compact_values,128,0.25,0.937689,-0.0453886,0.765074,0.265262,0.773155,0.267817,0.968307,0.221304,0.941243,0.202569,0.773155,0.267817,0.313206,0.00255495,0.804963,0.390749,2.93225,0.724431,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,24,2,2,highest
mlp_residual,learned_compact_values,128,0.25,0.941908,0.147689,0.826618,0.294387,0.831981,0.297212,0.9674,0.257748,0.942285,0.251866,0.831981,0.297212,0.149523,0.00282586,1.37595,0.747194,4.02757,1.32283,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,24,3,2,highest
mlp_residual,ridge_value_recovery,128,0.25,0.623607,-0.287947,0.603259,-0.0794523,0.614408,-0.0798445,0.73556,-0.148142,0.742703,-0.18356,0.603259,-0.0794523,0.208495,0,3.06139,2.1192,3.21534,2.06195,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,24,4,2,highest
mlp_residual,learned_compact_values,128,0.25,0.923594,0.0736892,0.791642,0.277262,0.799032,0.279215,0.960241,0.224794,0.938192,0.213713,0.799032,0.279215,0.205526,0.00195301,0.951179,0.467645,2.47655,0.726998,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,24,5,2,highest
mlp_residual,learned_compact_values,128,0.25,0.923827,-0.00814581,0.745885,0.192627,0.754857,0.195527,0.957565,0.144881,0.929131,0.145484,0.754857,0.195527,0.203673,0.00289977,0.776235,0.405681,2.47216,0.677518,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,24,6,2,highest
mlp_residual,mlp_residual,128,0.25,0.968211,0.317338,0.824647,0.393741,0.831711,0.397692,0.984008,0.400904,0.961931,0.368571,0.984008,0.400904,0.0835663,0.00716323,0.422611,0.19217,2.14486,0.457477,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,24,7,2,highest
mlp_residual,learned_compact_values,128,0.25,0.939207,-0.211904,0.806538,-0.154892,0.819329,-0.150868,0.965498,-0.165901,0.949462,-0.177964,0.819329,-0.150868,0.061036,0.00402319,0.38283,0.199024,1.17807,0.291527,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,24,0,2,highest
mlp_residual,fused_residual,128,0.25,0.791074,0.176347,0.698162,0.23109,0.709545,0.235435,0.86416,0.265946,0.854705,0.278446,0.854705,0.278446,0.102099,0.0473566,2.03932,1.28836,2.88529,1.37803,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,24,1,2,highest
mlp_residual,mlp_residual,128,0.25,0.961735,0.52866,0.823744,0.591293,0.830774,0.595315,0.981391,0.628936,0.959952,0.611161,0.981391,0.628936,0.100276,0.0376431,0.544428,0.242976,2.33482,0.52289,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,24,2,2,highest
mlp_residual,mlp_residual,128,0.25,0.972953,0.453558,0.849915,0.498367,0.855814,0.500712,0.986223,0.508698,0.967935,0.497691,0.986223,0.508698,0.05514,0.0103307,0.549284,0.252342,2.80734,0.587325,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,24,3,2,highest
mlp_residual,learned_compact_values,128,0.25,0.618781,-0.262988,0.594408,-0.141762,0.606544,-0.140184,0.738103,-0.216873,0.744789,-0.252827,0.606544,-0.140184,0.122804,0.00157714,2.654,1.79334,2.82355,1.74756,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,24,4,2,highest
mlp_residual,mlp_residual,128,0.25,0.963928,0.288319,0.816309,0.335341,0.824648,0.337879,0.9846,0.360219,0.965023,0.319715,0.9846,0.360219,0.0718998,0.0248775,0.387916,0.147305,1.79916,0.334551,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,24,5,2,highest
mlp_residual,learned_compact_values,128,0.25,0.941152,0.229051,0.784899,0.309933,0.793456,0.313464,0.970442,0.304518,0.946186,0.276285,0.793456,0.313464,0.0844124,0.00353038,0.571005,0.268051,1.99321,0.488031,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,24,6,2,highest
mlp_residual,ridge_value_recovery,128,0.25,0.970831,0.111514,0.829091,0.314209,0.83725,0.312969,0.986199,0.182467,0.967539,0.189488,0.829091,0.314209,0.202694,0,0.317727,0.13205,1.66789,0.310585,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,24,7,2,highest
