method,recovery_variant,budget,budget_fraction,direct_train_r2,direct_val_r2,fitv_train_r2,fitv_val_r2,learned_value_train_r2,learned_value_val_r2,mlp_train_r2,mlp_val_r2,fused_train_r2,fused_val_r2,recovery_train_r2,recovery_val_r2,recovery_gain_vs_direct,recovery_gain_vs_fitv,train_loss_initial,train_loss_final,fused_train_loss_initial,fused_train_loss_final,doc_index,text_file,layer,kv_head,query_group,selector
mlp_residual,ridge_value_recovery,64,0.125,0.654124,-0.209157,0.711795,0.259959,0.718119,0.256277,0.79335,0.186577,0.828782,0.151547,0.711795,0.259959,0.469117,0,2.4396,1.43237,2.03667,1.18678,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,23,0,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.150949,-0.682157,0.368489,-0.0847371,0.374843,-0.0903668,0.425915,-0.163138,0.519479,-0.154765,0.368489,-0.0847371,0.59742,0,5.21455,3.49825,3.87736,2.92811,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,23,1,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.645801,-0.189266,0.732432,0.266916,0.738159,0.262149,0.786109,0.194803,0.828339,0.174457,0.732432,0.266916,0.456182,0,2.58195,1.53154,1.95343,1.22916,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,23,2,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.328207,-0.130744,0.445167,0.0782248,0.449803,0.0772586,0.509674,0.0652376,0.593596,0.0487273,0.445167,0.0782248,0.208969,0,6.22441,4.50005,5.13366,3.72984,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,23,3,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.171273,-0.709443,0.389011,-0.0913357,0.396665,-0.099189,0.446281,-0.197931,0.554394,-0.23423,0.389011,-0.0913357,0.618107,0,3.67617,2.43129,2.72786,1.95658,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,23,4,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.288575,-0.523372,0.447737,-0.0146134,0.451279,-0.0181739,0.486753,-0.104056,0.58518,-0.139454,0.447737,-0.0146134,0.508759,0,13.7224,9.84182,10.6488,7.95441,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,23,5,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.374942,-0.778993,0.528639,-0.0414045,0.538578,-0.0438766,0.615171,-0.160726,0.682189,-0.134629,0.528639,-0.0414045,0.737588,0,2.25406,1.36268,1.69837,1.12537,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,23,6,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.645202,-0.111951,0.722459,0.33091,0.726942,0.327792,0.778961,0.232539,0.826722,0.236266,0.722459,0.33091,0.442861,0,4.45773,2.73167,3.46629,2.14142,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,23,7,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.685059,-0.109774,0.772825,0.324791,0.778941,0.320514,0.828056,0.247343,0.860274,0.231257,0.772825,0.324791,0.434566,0,2.36187,1.25913,1.70305,1.0232,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,23,0,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.302328,-0.522058,0.458553,-0.146467,0.465677,-0.153646,0.527447,-0.256603,0.594765,-0.293209,0.458553,-0.146467,0.375591,0,3.71675,2.49122,2.91771,2.13633,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,23,1,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.6767,0.0264949,0.747572,0.345725,0.753426,0.342888,0.809205,0.313102,0.848543,0.291298,0.747572,0.345725,0.31923,0,2.37554,1.37335,1.85771,1.09019,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,23,2,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.358826,0.0268725,0.473074,0.165343,0.477456,0.164378,0.528255,0.147316,0.62048,0.114487,0.473074,0.165343,0.138471,0,6.3529,4.65378,5.23715,3.74397,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,23,3,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.278729,-0.606486,0.482159,-0.119023,0.490421,-0.12692,0.558272,-0.192936,0.638765,-0.198208,0.482159,-0.119023,0.487463,0,3.08467,1.87041,2.22516,1.52958,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,23,4,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.368468,-0.327969,0.508011,0.0348731,0.511699,0.0321432,0.563068,-0.0832561,0.641011,-0.132622,0.508011,0.0348731,0.362842,0,10.4486,7.22324,8.18796,5.93471,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,23,5,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.327925,-1.06701,0.478834,-0.10287,0.486901,-0.115287,0.5631,-0.34412,0.623856,-0.331363,0.478834,-0.10287,0.964135,0,3.06995,1.97781,2.41411,1.70277,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,23,6,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.634349,-0.268988,0.754214,0.255866,0.759043,0.249589,0.796587,0.224521,0.839814,0.154037,0.754214,0.255866,0.524854,0,4.0689,2.24873,2.75785,1.77086,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,23,7,2,highest
