threshold,layer,kv_head,action,selected_budget,budget_fraction,quality,direct_val_r2,fitv_val_r2,reason
0.921,14,7,full,1536,1,1,,,not_target_layer
0.921,15,0,full,1536,1,1,,,not_target_layer
0.921,15,1,full,1536,1,1,,,not_target_layer
0.921,15,2,full,1536,1,1,,,not_target_layer
0.921,15,3,full,1536,1,1,,,not_target_layer
0.921,15,4,full,1536,1,1,,,not_target_layer
0.921,15,5,full,1536,1,1,,,not_target_layer
0.921,15,6,full,1536,1,1,,,not_target_layer
0.921,15,7,full,1536,1,1,,,not_target_layer
0.921,16,0,full,1536,1,1,,,not_target_layer
0.921,16,1,full,1536,1,1,,,not_target_layer
0.921,16,2,full,1536,1,1,,,not_target_layer
0.921,16,3,full,1536,1,1,,,not_target_layer
0.921,16,4,full,1536,1,1,,,not_target_layer
0.921,16,5,full,1536,1,1,,,not_target_layer
0.921,16,6,full,1536,1,1,,,not_target_layer
0.921,16,7,full,1536,1,1,,,not_target_layer
0.921,17,0,full,1536,1,1,,,not_target_layer
0.921,17,1,full,1536,1,1,,,not_target_layer
0.921,17,2,full,1536,1,1,,,not_target_layer
0.921,17,3,full,1536,1,1,,,not_target_layer
0.921,17,4,full,1536,1,1,,,not_target_layer
0.921,17,5,full,1536,1,1,,,not_target_layer
0.921,17,6,full,1536,1,1,,,not_target_layer
0.921,17,7,full,1536,1,1,,,not_target_layer
0.921,18,0,full,1536,1,1,,,not_target_layer
0.921,18,1,full,1536,1,1,,,not_target_layer
0.921,18,2,full,1536,1,1,,,not_target_layer
0.921,18,3,full,1536,1,1,,,not_target_layer
0.921,18,4,full,1536,1,1,,,not_target_layer
0.921,18,5,full,1536,1,1,,,not_target_layer
0.921,18,6,full,1536,1,1,,,not_target_layer
0.921,18,7,full,1536,1,1,,,not_target_layer
0.921,19,0,full,1536,1,1,,,not_target_layer
0.921,19,1,full,1536,1,1,,,not_target_layer
0.921,19,2,full,1536,1,1,,,not_target_layer
0.921,19,3,full,1536,1,1,,,not_target_layer
0.921,19,4,full,1536,1,1,,,not_target_layer
0.921,19,5,full,1536,1,1,,,not_target_layer
0.921,19,6,full,1536,1,1,,,not_target_layer
0.921,19,7,full,1536,1,1,,,not_target_layer
0.921,20,0,full,1536,1,1,,,not_target_layer
0.921,20,1,full,1536,1,1,,,not_target_layer
0.921,20,2,full,1536,1,1,,,not_target_layer
0.921,20,3,full,1536,1,1,,,not_target_layer
0.921,20,4,full,1536,1,1,,,not_target_layer
0.921,20,5,full,1536,1,1,,,not_target_layer
0.921,20,6,full,1536,1,1,,,not_target_layer
0.921,20,7,full,1536,1,1,,,not_target_layer
0.921,21,0,full,1536,1,1,,,not_target_layer
0.921,21,1,full,1536,1,1,,,not_target_layer
0.921,21,2,full,1536,1,1,,,not_target_layer
0.921,21,3,full,1536,1,1,,,not_target_layer
0.921,21,4,full,1536,1,1,,,not_target_layer
0.921,21,5,full,1536,1,1,,,not_target_layer
0.921,21,6,full,1536,1,1,,,not_target_layer
0.921,21,7,full,1536,1,1,,,not_target_layer
0.921,22,0,full,1536,1,1,,,not_target_layer
0.921,22,1,full,1536,1,1,,,not_target_layer
0.921,22,2,full,1536,1,1,,,not_target_layer
0.921,22,3,full,1536,1,1,,,not_target_layer
0.921,22,4,full,1536,1,1,,,not_target_layer
0.921,22,5,full,1536,1,1,,,not_target_layer
0.921,22,6,full,1536,1,1,,,not_target_layer
0.921,22,7,full,1536,1,1,,,not_target_layer
0.921,23,0,full,1536,1,1,,,not_target_layer
0.921,23,1,full,1536,1,1,,,not_target_layer
0.921,23,2,full,1536,1,1,,,not_target_layer
0.921,23,3,full,1536,1,1,,,not_target_layer
0.921,23,4,full,1536,1,1,,,not_target_layer
0.921,23,5,full,1536,1,1,,,not_target_layer
0.921,23,6,full,1536,1,1,,,not_target_layer
0.921,23,7,full,1536,1,1,,,not_target_layer
