method,recovery_variant,budget,budget_fraction,direct_train_r2,direct_val_r2,fitv_train_r2,fitv_val_r2,learned_value_train_r2,learned_value_val_r2,mlp_train_r2,mlp_val_r2,recovery_train_r2,recovery_val_r2,recovery_gain_vs_direct,recovery_gain_vs_fitv,train_loss_initial,train_loss_final,doc_index,text_file,layer,kv_head,query_group,selector
mlp_residual,ridge_value_recovery,64,0.125,0.165156,-1.2891,0.379062,-0.286471,0.388938,-0.303236,0.467694,-0.426775,0.379062,-0.286471,1.00263,0,2.0161,1.25427,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,20,0,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.252946,-0.313414,0.436311,0.0697072,0.441732,0.0662671,0.474332,-0.00373363,0.436311,0.0697072,0.383121,0,4.77182,3.32489,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,20,1,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.580045,-0.0413347,0.705288,0.383601,0.718125,0.377182,0.75626,0.336278,0.705288,0.383601,0.424936,0,0.613785,0.325433,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,20,2,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.341011,-0.247782,0.501346,0.0810924,0.507439,0.0735047,0.560621,0.0268028,0.501346,0.0810924,0.328875,0,2.88591,1.88448,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,20,3,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.364445,-0.576347,0.636731,0.0277957,0.649149,0.0182194,0.697996,-0.0656023,0.636731,0.0277957,0.604142,0,1.34474,0.611109,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,20,4,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.362492,-0.4623,0.556052,0.0378414,0.562937,0.0263736,0.612464,-0.03248,0.556052,0.0378414,0.500141,0,2.41711,1.45536,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,20,5,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.499253,-0.661772,0.663656,0.154793,0.676774,0.141125,0.738619,0.0327005,0.663656,0.154793,0.816565,0,0.77519,0.383813,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,20,6,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.464722,-0.377599,0.640691,0.14704,0.646577,0.136851,0.687219,0.0828112,0.640691,0.14704,0.524638,0,2.9031,1.67175,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,20,7,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.0870596,-0.877092,0.34143,-0.19655,0.349188,-0.205927,0.401248,-0.293973,0.34143,-0.19655,0.680542,0,2.80163,1.80828,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,20,0,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.321724,-0.217407,0.509877,0.0943128,0.51579,0.0913892,0.553753,0.0524665,0.509877,0.0943128,0.31172,0,3.87479,2.52244,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,20,1,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.662991,-0.182857,0.788209,0.328719,0.799993,0.311383,0.836546,0.243894,0.788209,0.328719,0.511576,0,0.539169,0.247728,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,20,2,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.428322,-0.302706,0.624888,0.0823993,0.63092,0.0723581,0.662846,0.016679,0.624888,0.0823993,0.385105,0,2.65588,1.52824,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,20,3,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.451472,-0.392469,0.669896,0.068443,0.680798,0.0594472,0.726837,-0.0295713,0.669896,0.068443,0.460912,0,1.33801,0.639825,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,20,4,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.441547,-0.317984,0.623823,0.137168,0.630809,0.126141,0.675041,0.0565299,0.623823,0.137168,0.455152,0,2.0911,1.19275,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,20,5,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.496643,-0.853309,0.691546,0.122751,0.701747,0.107091,0.755436,-0.0210131,0.691546,0.122751,0.97606,0,1.13745,0.53629,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,20,6,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.455838,-0.0991989,0.663676,0.238311,0.668657,0.232013,0.696112,0.206135,0.663676,0.238311,0.33751,0,3.45555,1.90467,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,20,7,2,highest
