threshold,regime,selector,metric,min_layer,max_layer,sampled_tokens,total_heads,candidate_heads,compressed_heads,compressed_head_fraction,original_entries,compact_entries,cache_entry_fraction,cache_entry_saving_fraction,compressed_quality_mean,compressed_quality_min,compressed_quality_p10,compressed_quality_p50,compressed_quality_p90,effective_quality_mean,selected_layer_count,selected_layers,compressed_heads_by_layer
0.4,holdout,highest,fitv_val_r2,0,27,1536,224,224,44,0.196429,344064,284096,0.825707,0.174293,0.446725,0.400846,0.407241,0.448123,0.47891,0.891321,22,1;2;3;4;5;6;8;9;10;11;13;14;16;18;19;20;21;22;23;24;25;26,1:1;2:2;3:3;4:2;5:1;6:2;8:1;9:1;10:1;11:2;13:2;14:1;16:2;18:2;19:1;20:1;21:3;22:2;23:1;24:5;25:3;26:5
0.45,holdout,highest,fitv_val_r2,0,27,1536,224,224,27,0.120536,344064,306944,0.892113,0.107887,0.478545,0.452199,0.454562,0.472575,0.498822,0.937146,17,2;3;4;5;6;8;9;10;11;14;18;20;22;23;24;25;26,2:2;3:3;4:1;5:1;6:1;8:1;9:1;10:1;11:1;14:1;18:1;20:1;22:2;23:1;24:2;25:3;26:4
