method,recovery_variant,budget,budget_fraction,direct_train_r2,direct_val_r2,fitv_train_r2,fitv_val_r2,learned_value_train_r2,learned_value_val_r2,mlp_train_r2,mlp_val_r2,recovery_train_r2,recovery_val_r2,recovery_gain_vs_direct,recovery_gain_vs_fitv,train_loss_initial,train_loss_final,doc_index,text_file,layer,kv_head,query_group,selector
mlp_residual,ridge_value_recovery,64,0.125,0.532501,-0.349713,0.676139,0.148938,0.702885,0.120541,0.740115,0.0831976,0.676139,0.148938,0.498651,0,0.123984,0.0432973,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,12,0,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.660218,-0.0226699,0.769993,0.286741,0.797089,0.272646,0.821545,0.236131,0.769993,0.286741,0.309411,0,0.0864103,0.0239869,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,12,1,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.42855,-0.404325,0.646594,-0.012357,0.666033,-0.0288692,0.710645,-0.0589285,0.646594,-0.012357,0.391968,0,0.179866,0.0715099,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,12,2,2,highest
mlp_residual,mlp_residual,64,0.125,0.509777,0.0427164,0.61271,0.238743,0.630841,0.24039,0.693093,0.258523,0.693093,0.258523,0.215807,0.0197804,0.298948,0.150568,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,12,3,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.676763,-0.158502,0.753893,0.30873,0.786453,0.297921,0.834732,0.28279,0.753893,0.30873,0.467232,0,0.0969002,0.0271134,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,12,4,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.685814,-0.206958,0.782696,0.227304,0.811221,0.2055,0.83884,0.181462,0.782696,0.227304,0.434261,0,0.0904139,0.022238,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,12,5,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.638426,-0.159405,0.765315,0.221975,0.796581,0.202289,0.821777,0.169985,0.765315,0.221975,0.38138,0,0.10016,0.0229117,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,12,6,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.636807,-0.0588485,0.753326,0.30367,0.784341,0.290819,0.825539,0.265787,0.753326,0.30367,0.362518,0,0.0923822,0.0232062,0,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_0.md,12,7,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.485603,-0.47326,0.659342,0.088223,0.681465,0.0606201,0.728978,0.00183189,0.659342,0.088223,0.561483,0,0.149021,0.0555541,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,12,0,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.770299,-0.13599,0.835878,0.231311,0.86375,0.211247,0.887507,0.16518,0.835878,0.231311,0.367301,0,0.0805775,0.0161658,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,12,1,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.448914,-0.507939,0.65021,-0.169404,0.673706,-0.185877,0.721463,-0.207174,0.65021,-0.169404,0.338534,0,0.170631,0.0622615,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,12,2,2,highest
mlp_residual,mlp_residual,64,0.125,0.489025,-0.0721697,0.631151,0.211109,0.65114,0.214788,0.717329,0.238941,0.717329,0.238941,0.311111,0.0278319,0.289161,0.129511,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,12,3,2,highest
mlp_residual,learned_compact_values,64,0.125,0.664873,-0.286319,0.763314,0.130081,0.800734,0.130976,0.855513,0.108997,0.800734,0.130976,0.417295,0.00089407,0.0873802,0.0210155,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,12,4,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.641865,-0.451175,0.771623,0.120062,0.798836,0.086121,0.825084,0.0565411,0.771623,0.120062,0.571236,0,0.106406,0.0263479,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,12,5,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.667355,-0.736387,0.759389,-0.0427282,0.799586,-0.0762904,0.842941,-0.139429,0.759389,-0.0427282,0.693659,0,0.063679,0.016282,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,12,6,2,highest
mlp_residual,ridge_value_recovery,64,0.125,0.582753,-0.321304,0.735135,0.227819,0.769115,0.204177,0.807419,0.133353,0.735135,0.227819,0.549123,0,0.0985241,0.0240272,1,/data00/home/sitian/light-doc-cache-work/probe/recovery_text_1.md,12,7,2,highest
